FIPS_Code,State,Area_Name,Attribute,Value
24000,MD,Maryland,Civilian_labor_force_2019,3338480
24000,MD,Maryland,Employed_2019,3225825
24000,MD,Maryland,Unemployed_2019,112655
24000,MD,Maryland,Unemployment_rate_2019,3.4
24000,MD,Maryland,Civilian_labor_force_2020,3230561
24000,MD,Maryland,Employed_2020,3022470
24000,MD,Maryland,Unemployed_2020,208091
24000,MD,Maryland,Unemployment_rate_2020,6.4
24000,MD,Maryland,Civilian_labor_force_2021,3152885
24000,MD,Maryland,Employed_2021,2988216
24000,MD,Maryland,Unemployed_2021,164669
24000,MD,Maryland,Unemployment_rate_2021,5.2
24000,MD,Maryland,Civilian_labor_force_2022,3154854
24000,MD,Maryland,Employed_2022,3060216
24000,MD,Maryland,Unemployed_2022,94638
24000,MD,Maryland,Unemployment_rate_2022,3
24000,MD,Maryland,Civilian_labor_force_2023,3184868
24000,MD,Maryland,Employed_2023,3117270
24000,MD,Maryland,Unemployed_2023,67598
24000,MD,Maryland,Unemployment_rate_2023,2.1
24000,MD,Maryland,Median_Household_Income_2022,94957
24000,MD,Maryland,Med_HH_Income_Percent_of_State_Total_2022,100
25000,MA,Massachusetts,Civilian_labor_force_2019,3848611
25000,MA,Massachusetts,Employed_2019,3731900
25000,MA,Massachusetts,Unemployed_2019,116711
25000,MA,Massachusetts,Unemployment_rate_2019,3
25000,MA,Massachusetts,Civilian_labor_force_2020,3744255
25000,MA,Massachusetts,Employed_2020,3396014
25000,MA,Massachusetts,Unemployed_2020,348241
25000,MA,Massachusetts,Unemployment_rate_2020,9.3
25000,MA,Massachusetts,Civilian_labor_force_2021,3731417
25000,MA,Massachusetts,Employed_2021,3530207
25000,MA,Massachusetts,Unemployed_2021,201210
25000,MA,Massachusetts,Unemployment_rate_2021,5.4
25000,MA,Massachusetts,Civilian_labor_force_2022,3743592
25000,MA,Massachusetts,Employed_2022,3606318
25000,MA,Massachusetts,Unemployed_2022,137274
25000,MA,Massachusetts,Unemployment_rate_2022,3.7
25000,MA,Massachusetts,Civilian_labor_force_2023,3751662
25000,MA,Massachusetts,Employed_2023,3625293
25000,MA,Massachusetts,Unemployed_2023,126369
25000,MA,Massachusetts,Unemployment_rate_2023,3.4
25000,MA,Massachusetts,Median_Household_Income_2022,94538
25000,MA,Massachusetts,Med_HH_Income_Percent_of_State_Total_2022,100
26000,MI,Michigan,Civilian_labor_force_2019,4979516
26000,MI,Michigan,Employed_2019,4776963
26000,MI,Michigan,Unemployed_2019,202553
26000,MI,Michigan,Unemployment_rate_2019,4.1
26000,MI,Michigan,Civilian_labor_force_2020,4861572
26000,MI,Michigan,Employed_2020,4376032
26000,MI,Michigan,Unemployed_2020,485540
26000,MI,Michigan,Unemployment_rate_2020,10
26000,MI,Michigan,Civilian_labor_force_2021,4775153
26000,MI,Michigan,Employed_2021,4500849
26000,MI,Michigan,Unemployed_2021,274304
26000,MI,Michigan,Unemployment_rate_2021,5.7
26000,MI,Michigan,Civilian_labor_force_2022,4866063
26000,MI,Michigan,Employed_2022,4664171
26000,MI,Michigan,Unemployed_2022,201892
