FIPStxt,State,Area_Name,Attribute,Value
8000,CO,Colorado,N_POP_CHG_2022,29443
8000,CO,Colorado,N_POP_CHG_2023,36571
8000,CO,Colorado,BIRTHS_2020,15593
8000,CO,Colorado,BIRTHS_2021,62137
8000,CO,Colorado,BIRTHS_2022,62682
8000,CO,Colorado,BIRTHS_2023,62498
8000,CO,Colorado,DEATHS_2020,11914
8000,CO,Colorado,DEATHS_2021,46481
8000,CO,Colorado,DEATHS_2022,49599
8000,CO,Colorado,DEATHS_2023,45099
8000,CO,Colorado,NATURAL_CHG_2020,3679
8000,CO,Colorado,NATURAL_CHG_2021,15656
8000,CO,Colorado,NATURAL_CHG_2022,13083
8000,CO,Colorado,NATURAL_CHG_2023,17399
8000,CO,Colorado,INTERNATIONAL_MIG_2020,244
8000,CO,Colorado,INTERNATIONAL_MIG_2021,3913
8000,CO,Colorado,INTERNATIONAL_MIG_2022,10413
8000,CO,Colorado,INTERNATIONAL_MIG_2023,11931
8000,CO,Colorado,DOMESTIC_MIG_2020,7169
8000,CO,Colorado,DOMESTIC_MIG_2021,5404
8000,CO,Colorado,DOMESTIC_MIG_2022,6772
8000,CO,Colorado,DOMESTIC_MIG_2023,7236
8000,CO,Colorado,NET_MIG_2020,7413
8000,CO,Colorado,NET_MIG_2021,9317
8000,CO,Colorado,NET_MIG_2022,17185
8000,CO,Colorado,NET_MIG_2023,19167
8000,CO,Colorado,RESIDUAL_2020,420
8000,CO,Colorado,RESIDUAL_2021,1404
8000,CO,Colorado,RESIDUAL_2022,-825
8000,CO,Colorado,RESIDUAL_2023,5
8000,CO,Colorado,GQ_ESTIMATES_BASE_2020,126857
8000,CO,Colorado,GQ_ESTIMATES_2020,124881
8000,CO,Colorado,GQ_ESTIMATES_2021,114634
8000,CO,Colorado,GQ_ESTIMATES_2022,123235
8000,CO,Colorado,GQ_ESTIMATES_2023,125069
8000,CO,Colorado,R_BIRTH_2021,10.7
8000,CO,Colorado,R_BIRTH_2022,10.8
8000,CO,Colorado,R_BIRTH_2023,10.7
8000,CO,Colorado,R_DEATH_2021,8
8000,CO,Colorado,R_DEATH_2022,8.5
8000,CO,Colorado,R_DEATH_2023,7.7
8000,CO,Colorado,R_NATURAL_CHG_2021,2.7
8000,CO,Colorado,R_NATURAL_CHG_2022,2.2
8000,CO,Colorado,R_NATURAL_CHG_2023,3
8000,CO,Colorado,R_INTERNATIONAL_MIG_2021,0.7
8000,CO,Colorado,R_INTERNATIONAL_MIG_2022,1.8
8000,CO,Colorado,R_INTERNATIONAL_MIG_2023,2
8000,CO,Colorado,R_DOMESTIC_MIG_2021,0.9
8000,CO,Colorado,R_DOMESTIC_MIG_2022,1.2
8000,CO,Colorado,R_DOMESTIC_MIG_2023,1.2
8000,CO,Colorado,R_NET_MIG_2021,1.6
8000,CO,Colorado,R_NET_MIG_2022,2.9
8000,CO,Colorado,R_NET_MIG_2023,3.3
9000,CT,Connecticut,CENSUS_2020_POP,3605944
9000,CT,Connecticut,ESTIMATES_BASE_2020,3605912
9000,CT,Connecticut,POP_ESTIMATE_2020,3577586
9000,CT,Connecticut,POP_ESTIMATE_2021,3603691
9000,CT,Connecticut,POP_ESTIMATE_2022,3608706
9000,CT,Connecticut,POP_ESTIMATE_2023,3617176
9000,CT,Connecticut,N_POP_CHG_2020,-28326
9000,CT,Connecticut,N_POP_CHG_2021,26105
9000,CT,Connecticut,N_POP_CHG_2022,5015
9000,CT,Connecticut,N_POP_CHG_2023,8470
9000,CT,Connecticut,BIRTHS_2020,8465
9000,CT,Connecticut,BIRTHS_2021,33942
9000,CT,Connecticut,BIRTHS_2022,35572
9000,CT,Connecticut,BIRTHS_2023,34957
9000,CT,Connecticut,DEATHS_2020,11938
9000,CT,Connecticut,DEATHS_2021,34571
9000,CT,Connecticut,DEATHS_2022,34833
9000,CT,Connecticut,DEATHS_2023,32842
9000,CT,Connecticut,NATURAL_CHG_2020,-3473
9000,CT,Connecticut,NATURAL_CHG_2021,-629
9000,CT,Connecticut,NATURAL_CHG_2022,739
9000,CT,Connecticut,NATURAL_CHG_2023,2115
9000,CT,Connecticut,INTERNATIONAL_MIG_2020,410
9000,CT,Connecticut,INTERNATIONAL_MIG_2021,6217
9000,CT,Connecticut,INTERNATIONAL_MIG_2022,15562
9000,CT,Connecticut,INTERNATIONAL_MIG_2023,15264
9000,CT,Connecticut,DOMESTIC_MIG_2020,-21420
9000,CT,Connecticut,DOMESTIC_MIG_2021,19032
9000,CT,Connecticut,DOMESTIC_MIG_2022,-10081
9000,CT,Connecticut,DOMESTIC_MIG_2023,-9016
9000,CT,Connecticut,NET_MIG_2020,-21010
9000,CT,Connecticut,NET_MIG_2021,25249
9000,CT,Connecticut,NET_MIG_2022,5481
9000,CT,Connecticut,NET_MIG_2023,6248
9000,CT,Connecticut,RESIDUAL_2020,-3843
